,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL
Top Calibers*,.17 cal,13,4,7,5,50,4,0,1,1,22,15,0,0,4,17,5,9,8,5,14,2,26,1,2,13,8,3,5,4,7,0,1,2,10,31,1,13,3,21,16,0,0,9,5,11,21,0,9,0,19,10,5,9,3,454
,.22 cal,602,114,"1,039",135,"5,215",376,177,141,143,"2,505","1,438",4,41,164,"1,635",735,316,375,482,697,97,"1,331",289,505,427,477,626,92,253,414,52,464,238,"1,429","1,807",66,"1,230",250,653,"1,233",5,43,507,43,934,"1,574",7,252,64,978,678,220,474,84,"34,130"
,.223 cal,73,28,188,16,715,78,36,12,4,314,137,3,17,19,116,80,23,60,58,98,17,148,26,58,42,37,59,21,32,64,10,46,35,117,153,13,106,43,75,90,40,4,47,7,74,424,1,58,5,103,81,14,43,8,"4,176"
,.243 cal,62,4,12,16,52,5,1,3,1,42,36,0,2,5,14,1,8,5,6,19,1,28,3,7,19,8,8,5,2,3,1,0,9,16,37,4,5,10,23,39,1,0,7,5,12,45,0,32,2,29,13,5,7,4,684
,.25 cal,142,7,170,20,"1,247",63,36,23,36,614,377,0,3,14,557,173,27,61,146,174,14,207,70,183,46,195,128,5,41,82,8,156,37,466,417,0,388,32,85,312,5,9,132,1,194,355,3,20,7,205,96,23,81,2,"7,895"
,.270 cal,77,7,30,24,109,11,1,1,1,67,46,0,3,6,13,7,5,6,4,21,3,40,2,5,16,16,17,9,3,5,0,8,7,19,52,3,5,9,23,38,0,0,21,4,27,75,0,6,5,40,19,14,15,2,947
,.30 cal,10,1,27,1,284,6,15,3,8,56,32,1,4,0,41,11,2,10,14,14,3,34,2,23,8,1,13,2,5,13,1,11,6,49,28,2,18,12,14,21,2,0,4,3,17,42,0,2,1,34,14,2,10,2,939
,.30-06 cal,63,13,55,15,287,25,11,10,5,123,89,0,2,11,53,25,18,10,19,29,14,113,11,20,37,15,27,10,18,26,3,15,26,60,88,2,17,13,62,124,0,2,27,2,41,98,0,15,2,86,57,11,47,6,"1,958"
,.30-30 cal,24,0,50,16,252,16,10,4,8,155,99,1,4,9,52,27,12,21,25,42,21,128,7,20,24,19,27,5,11,14,1,19,21,52,107,2,28,16,50,97,0,2,23,5,60,126,0,15,13,73,34,25,37,1,"1,910"
,.300 cal,12,14,21,13,91,9,3,0,1,22,17,0,0,8,12,4,2,5,7,6,2,21,2,1,6,6,2,8,2,4,1,0,7,11,11,1,1,8,22,23,0,0,6,3,12,19,0,12,1,12,17,9,9,4,490
,.308 cal,51,11,41,12,208,19,15,7,4,100,47,1,8,8,26,20,10,27,11,17,8,62,2,20,13,15,14,9,6,12,2,7,23,40,38,4,21,13,21,39,1,0,11,2,29,67,0,38,1,31,29,8,13,3,"1,245"
,.32 cal,127,6,121,17,816,52,65,25,61,544,357,0,2,12,480,158,16,40,81,130,10,255,52,146,51,97,115,6,35,61,8,184,21,527,360,1,292,39,62,341,8,13,171,2,207,268,3,9,12,213,69,20,88,3,"6,859"
,.357 cal,131,37,325,19,"1,736",101,42,37,49,720,393,3,11,49,677,172,40,95,110,266,23,324,95,179,115,86,118,23,49,155,19,213,90,344,464,3,342,61,141,469,32,17,151,6,269,479,4,44,10,308,166,19,138,10,"9,979"
,.38 cal,383,20,420,69,"2,877",111,113,72,185,"1,763","1,019",2,25,41,"1,227",458,76,139,286,610,28,550,161,422,130,283,364,14,71,239,6,395,86,897,907,6,811,99,194,797,52,33,354,3,661,962,18,43,18,461,239,62,152,11,"19,425"
,.380 cal,415,30,554,62,"1,551",176,90,72,130,"1,760","1,135",1,4,51,870,523,82,199,332,611,23,361,132,302,169,284,349,17,70,201,16,284,76,734,964,8,942,89,163,689,18,22,367,6,487,"1,048",17,75,12,555,233,49,209,7,"17,626"
,.40 cal,360,87,860,59,"1,971",218,74,68,154,"1,864","1,246",3,6,60,861,575,85,214,308,965,30,537,101,465,187,218,521,37,96,274,19,260,103,414,902,9,858,143,208,942,343,25,394,4,549,"1,415",31,87,13,763,301,61,311,15,"20,674"
,.410 bore,42,6,52,17,229,16,7,11,6,146,116,0,1,9,87,63,43,20,27,57,8,109,1,29,29,35,47,3,13,9,4,18,12,42,159,3,66,25,23,52,0,0,40,3,91,113,1,4,4,89,23,11,28,1,"2,050"
,.44 cal,28,37,85,2,497,26,22,12,11,167,127,0,4,16,133,65,16,27,29,58,5,91,18,57,42,15,36,14,13,37,3,48,19,90,97,5,99,14,60,113,0,3,33,2,74,118,0,7,4,67,46,13,47,6,"2,658"
,.45 cal,280,102,710,50,"2,361",223,88,66,112,"1,351",849,2,15,62,879,360,97,217,246,509,33,455,122,334,167,172,351,37,90,233,22,301,108,586,832,15,656,84,232,674,94,23,280,14,409,"1,121",15,93,15,557,299,49,202,26,"17,280"
