,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL
Categories,Abortion,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Aggravated Assault,49,13,559,29,923,60,27,53,49,959,601,0,2,49,300,146,28,186,20,279,2,168,25,193,124,57,253,25,36,66,0,70,61,44,323,1,255,26,27,673,0,4,63,1,170,632,3,60,10,106,134,11,66,6,"8,027"
,Altering Identification on Weapon,10,1,1,5,108,2,0,1,0,9,17,0,0,2,3,3,1,1,2,3,0,1,4,3,0,7,1,0,1,1,0,2,7,0,12,0,19,0,0,20,0,2,3,0,3,11,0,0,0,2,0,0,1,0,269
,Arson,1,0,48,0,8,1,0,0,0,2,1,0,0,0,2,14,1,2,1,0,0,3,0,10,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,1,4,0,0,1,1,0,0,0,2,0,0,0,110
,Bribery,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,28
,Burglary,55,8,290,9,279,70,1,35,6,376,213,0,0,61,59,100,24,47,45,164,12,97,2,36,22,51,63,29,26,39,0,18,25,39,155,3,114,12,62,208,2,0,46,3,124,293,13,16,23,96,114,10,108,11,"3,714"
,Carrying Concealed Weapon,214,2,5,9,"1,207",20,0,51,0,696,206,0,0,11,219,17,29,18,65,323,11,813,12,"1,187",8,45,323,0,31,85,0,7,0,27,706,1,994,2,26,388,3,0,36,0,16,292,0,1,0,370,50,5,278,0,"8,809"
,Carrying Prohibited Weapon,10,1,13,10,264,15,1,10,0,31,104,0,0,0,3,2,2,0,0,30,1,4,0,4,1,12,2,1,0,6,0,6,3,12,8,0,18,4,7,16,8,2,6,0,7,22,0,9,0,18,10,0,3,0,686
,Civil Rights,0,0,11,0,1,0,0,0,0,2,1,0,0,0,2,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
,Crimes Against Person,19,1,17,2,140,8,3,0,0,18,18,0,0,0,29,19,1,1,6,2,5,3,0,4,1,6,3,0,0,1,0,4,0,36,19,0,37,0,25,11,0,0,1,0,1,35,1,1,0,16,6,7,36,0,543
,Dangerous Drugs,490,67,"1,202",104,"2,456",142,59,111,83,"1,595","1,578",1,18,77,860,721,127,336,342,"1,092",15,913,22,763,413,233,744,47,187,321,25,130,185,661,"1,486",8,"1,022",195,532,"1,080",107,3,350,62,587,"1,349",2,126,44,680,342,86,233,11,"24,425"
,Election Laws,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,Explosives - Possessing,0,0,0,0,5,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,6,0,0,1,0,0,0,0,0,0,0,4,0,0,0,32
,Explosives - Teaching Use,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
,Explosives - Transporting,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
,Explosives - Using,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
,Extortion,0,0,0,0,12,0,0,0,0,6,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,36
,Family Offense,134,28,130,4,471,30,33,32,1,"1,185",332,0,3,33,265,287,72,71,33,96,11,"1,105",65,11,86,98,74,7,74,289,0,11,26,107,615,1,136,20,138,133,9,11,186,24,70,163,0,51,0,133,202,32,170,2,"7,300"
,Firearm Under Investigation,550,55,406,105,"1,034",140,283,181,479,"3,205","1,562",28,75,82,"3,296",302,149,231,"1,679",703,183,521,299,321,376,325,401,40,126,101,89,105,354,"1,405",835,57,833,68,140,639,94,18,"1,115",14,896,"1,929",3,95,19,"1,459",181,225,327,18,"28,156"
,Firing Weapon,32,13,55,2,447,17,21,4,1,212,60,0,2,40,117,36,7,37,44,116,3,33,5,25,21,26,22,2,68,84,1,3,16,94,137,1,80,5,24,134,0,1,19,0,13,85,0,7,0,72,38,12,65,2,"2,361"
,Flight-Escape,1,7,8,1,13,1,0,0,0,5,6,0,0,2,4,0,0,1,1,2,0,0,0,16,0,1,0,0,0,0,0,5,0,0,7,0,1,0,0,1,0,0,3,0,0,24,0,1,0,0,3,0,0,0,114
,Forgery,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
