Name: “Table 1 of 1 on page 9 of 11”,Name: “Table 1 of 1 on page 9 of 11”,Name: “Table 1 of 1 on page 9 of 11”,Name: “Table 1 of 1 on page 9 of 11”,Name: “Table 1 of 1 on page 9 of 11”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,
Age of Possessors for Firearms with a,Age of Possessors for Firearms with a,Age of Possessors for Firearms with a,Age of Possessors for Firearms with a,
Virginia Recovery,Virginia Recovery,Virginia Recovery,,
"January 1, 2012 – December 31, 2012","January 1, 2012 – December 31, 2012","January 1, 2012 – December 31, 2012","January 1, 2012 – December 31, 2012",
,,"1,138",,
,,"1,019","1,027",
,,828,,
730,,737,,
164,,,,
,0,,,
,4,,,
,,1,,
,,4,,
1/1/2012-12/31/2012 Virginia Average Age of Possessor:,1/1/2012-12/31/2012 Virginia Average Age of Possessor:,1/1/2012-12/31/2012 Virginia Average Age of Possessor:,1/1/2012-12/31/2012 Virginia Average Age of Possessor:,36 Years
1/1/2012-12/31/2012 National Average Age of Possessor:,1/1/2012-12/31/2012 National Average Age of Possessor:,1/1/2012-12/31/2012 National Average Age of Possessor:,1/1/2012-12/31/2012 National Average Age of Possessor:,36 Years
"Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information"
